phase duration (us),threshold (uA)
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
14.0,0.0
15.0,0.0
17.0,930.0720214843747
19.0,847.0336914062503
22.0,750.0549316406251
24.0,698.6022949218751
27.0,635.5285644531251
30.0,584.9792480468749
34.0,531.4453125
38.0,489.25170898437483
42.0,455.18188476562506
48.0,414.91088867187483
53.0,388.48876953125
60.0,359.14306640625
67.0,336.20605468750006
75.0,315.53344726562506
84.0,297.3083496093751
94.0,281.488037109375
105.0,267.88940429687494
118.0,255.43212890625003
132.0,245.068359375
147.0,236.43798828125
165.0,228.4423828125
185.0,221.6552734375
207.0,215.95458984375003
232.0,211.03515625
260.0,206.878662109375
291.0,203.43627929687503
326.0,200.54931640625
365.0,198.19946289062491
408.0,196.33178710937503
457.00000000000006,194.84252929687503
512.0,193.71337890625003
